nr,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani,platnost_fin,platnost_T,referendum_validity,referendum_binding,voting_valid,binding_minimum_count,rok_fin,rok_T,obec_fin,okres_fin,kraj_fin,geo_city,lok_T
39.0,"Ochoz u Brna                  (Brno-venkov, JHM)","1. Souhlasíte s tím, aby zastupitestvo obce Ochoz u Brna učinilo v samostatné působnosti veškeré kroky k neschválení nového v současnosti připravovaného návrhu územního plánu.                   2. Souhlasíte, aby se současné okolí místního hřbitova (40 m od hřbitovní zdi) stalo pietní zónou a v novém územním plánu tedy nezastavitelným územím?",2007-11-12 00:00:00,951,0.354,NE,"ad 1) 287      ad 2) 261 (86,7 %; 78,9 %)","ad 1) 42             ad 2) 70 (12,7 %; 21,1 %)",NE,,NE,True,False,False,True,0,2007,True,Ochoz u Brna,Brno-venkov,Jihomoravský kraj,"Ochoz u Brna, Brno-venkov, Jihomoravský kraj, Česká republika",True
40.0,"Opatov                        (Jihlava, VYS)","Požadujete, aby orgány obce Opatov využily všech svých rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-11-10 00:00:00,160,0.675,ANO,"103     (95,4 %)","3            (2,8 %)",ANO         (55),,ANO,True,True,True,True,55,2007,True,Opatov,Jihlava,Kraj Vysočina,"Opatov, Jihlava, Kraj Vysočina, Česká republika",True
41.0," Líšťany                        (Louny, ULK)",Souhlasíte s výstavbou větrných elektráren v severozápadním okraji katastrálního území Líšťany?,2007-11-30 00:00:00,375,0.443,NE,"100      (60,2 %)","66       (39,8 %)",NE,,NE,True,False,False,True,0,2007,True,Líšťany,Louny,Ústecký kraj,"Líšťany, Louny, Ústecký kraj, Česká republika",True
42.0,"Strašice               (Rokycany, PLK)","Má obec Strašice při výkonu své samostatné působnosti podniknout veškerá zákonná opatření k tomu, aby zamezila výstavbě radarové stanice Spojených států amerických na území vojenského výcvikového prostoru Brdy?",2007-11-10 00:00:00,1910,0.367,NE,"646     (93,2 %)","36          (5,2 %)",NE,,NE,True,False,False,True,0,2007,True,Strašice,Rokycany,Plzeňský kraj,"Strašice, Rokycany, Plzeňský kraj, Česká republika",True
43.0,"Dušejov                    (Jihlava, VYS)","Požadujete, aby orgány obce Dušejov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-11-24 00:00:00,329,0.653,ANO,"206     (95,8 %)","8            (3,7 %)",ANO        (108),,ANO,True,True,True,True,108,2007,True,Dušejov,Jihlava,Kraj Vysočina,"Dušejov, Jihlava, Kraj Vysočina, Česká republika",True
45.0,"Hubenov                  (Jihlava, VYS)","Požadujete, aby orgány obce Hubenov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-15 00:00:00,115,0.826,ANO,"94       (98,9 %)","1            (1,1 %)",ANO          (48),,ANO,True,True,True,True,48,2007,True,Hubenov,Jihlava,Kraj Vysočina,"Hubenov, Jihlava, Kraj Vysočina, Česká republika",True
46.0,"Milíčov                       (Jihlava, VYS)","Požadujete, aby orgány obce Milíčov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-08 00:00:00,103,0.864,ANO,"85       (95,5 %)","1            (1,1 %)",ANO         (45),,ANO,True,True,True,True,45,2007,True,Milíčov,Jihlava,Kraj Vysočina,"Milíčov, Jihlava, Kraj Vysočina, Česká republika",True
47.0,"Dvorce                       (Jihlava, VYS)","Požadujete, aby orgány obce Dvorce využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-15 00:00:00,150,0.733,ANO,"105      (95,5 %)","5             (4,5 %)",ANO         (61),,ANO,True,True,True,True,61,2007,True,Dvorce,Jihlava,Kraj Vysočina,"Dvorce, Jihlava, Kraj Vysočina, Česká republika",True
48.0," Letohrad                      (Ústí nad Orlicí, PAK)",Jste pro osamostatnění městské části Kunčice s územím vymezeným k. ú. Kunčice u Letohradu?,2008-02-16 00:00:00,793,0.651,ANO,"262        (50,7%)","241     (46,6 %)",NEPŘIJATO3 (397),,ANO,True,True,False,True,397,2008,True,Letohrad,Ústí nad Orlicí,Pardubický kraj,"Letohrad, Ústí nad Orlicí, Pardubický kraj, Česká republika",True
49.0,"Želešice                    (Brno-venkov, JHM","Má obec Želešice prodávat, pronajímat či jinak nakládat se svými pozemky nacházejícími se v okolí současného kamenolomu v k.ú. Želešice, před tím, než bude vybudován a zprovozněn plánovaný silniční obchvat obce Želešice?",2008-02-02 00:00:00,1118,0.402,NE,"87       (19,5 %)",350        (78 %),NE,,NE,True,False,False,True,0,2008,True,Želešice,Brno-venkov,Jihomoravský kraj,"Želešice, Brno-venkov, Jihomoravský kraj, Česká republika",True
