poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
278.0,"Nové město nad Metují            (Náchod, HKK) ","Jste proti vedení tranzitní a nákladní dopravy v navrženém dopravním koridoru Vladivostok - okolo nádraží ČD - pod Malecím - nad Vrchoviny a požadujete, aby orgány města žádaly u příslušných organizací ukončení prací na realizaci stavby přeložky 1/14 a v souladu se zákonnými postupy prosazovaly v městských, krajských i celostátních dokumentech územního plánování podmínky pro vytvoření jižního obchvatu Nového města nad Metují v trase Spy - Vladivostok - Osma - Nahořany?",5. - 6. 10. 2018,7827,0.4412,ANO,"2116 (61,28%)","1209 (35,01%)",ANO          (1957),
279.0,"Temelín             (České Budějovice, JHČ)",Souhlasíte s výstavbou Víceúčelové sportovní haly (zimní stadion) v obci Temelín?,5. - 6. 10. 2018,700,0.57,ANO,"158 (39,6%)","233 (58,4%)",ANO              (175),
280.0,"Liberec                   (Liberec, LBK)","Souhlasíte s tím, aby město upravilo tarif hromadné dopravy tak, aby děti ve věku do 15 let a senioři nad 65 let měli MHD nejpozději od 1. 1. 2019 zdarma?",5. - 6. 10. 2018,80008,0.1485,NE,"7381 (62,12%)","4062 (34,19%)",NE               (20002),
,,"Souhlasíte s tím, aby město Liberec učinilo veškeré možné kroky ve své samostatné působnosti k regulaci hazardu tak, aby v Liberci bylo do konce roku 2019 max. 7 míst s tzv. živou hrou?",,,,,"10167 (85,57%)","1315 (11,07%)",,
,,"Souhlasíte s tím, aby město do konce roku 2018 koupilo liberecký zámek a přilehlý zámecký park za cenu max. 96,5 mil. Kč?",,,,,"6818 (57,39%)","4157 (34,99%)",,
,,"Souhlasíte s tím, aby město obnovilo bývalý lesní amfiteátr v Lidových sadech?",,,,,"8787 (73,96%)","2563 (21,57%)",,
,,"Souhlasíte s tím, aby město vykoupilo od Povodí Labe hráz u Veseckého rybníku, tzv. Tajchu, a připravilo projekt citlivé revitalizace jeho okolí?",,,,,"7818 (65,80%)","3207 (26,99%)",,
281.0,"Horní Počaply     (Mělník, STK)","Souhlasíte s výstavbou zařízení pro energetické využití odpadů ZEVO na území obce
Horní Počaply?",5. - 6. 10. 2018,963,0.4922,ANO,"19      (4,01%)","448 (94,51%)",ANO           (241),
282.0,"Poděbrady (Nymburk, STK)","Souhlasíte s tím, aby Zastupitelstvo města Poděbrady v rámci samostatné působnosti podniklo veškeré kroky potřebné k zahájení výstavby areálu krytého plaveckého bazénu o délce 25 m se šesti plaveckými drahami v městě Poděbrady?",5. - 6. 10. 2018,11108,0.215,NE,"1423 (59,59%)","803 (33,63%)",NE           (2777),
,,"Souhlasíte s tím, aby Zastupitelstvo města Poděbrady v rámci samostatné působnosti podniklo veškeré kroky potřebné k tomu, aby výstavba areálu krytého plaveckého bazénu byla zahájena nejpozději do dvou let od dne vyhlášení výsledků místního referenda a ukončena nejpozději do 5 let ode dne vyhlášení výsledků referenda?",,,,,"1291 (54,06%)","836 (35,00%)",,
,,"Souhlasíte s tím, aby Zastupitelstvo města Poděbrady v rámci samostatné působnosti podniklo veškeré kroky k tomu, aby součástí areálu krytého plaveckého bazénu byl také malý aquapark včetně bazénku pro nejmenší?",,,,,"1240 (51,93%)","884 (37,02%)",,
,,"Souhlasíte s tím, aby Zastupitelstvo města Poděbrady v rámci samostatné působnosti podniklo veškeré kroky k tomu, aby soušástí areálu krytého plaveckého bazénu byla také relaxační část obsahující parní sauny, sauny, vířivky, perličky, trysky, chrliče a klidovou zónu?",,,,,"1282 (53,69%)","890 (37,27%)",,
283.0,"Čejov              (Pelhřimov, VYS)","Místní referendum se týkalo otázky, zda si občané přejí pokračovat v rekonstrukci MŠ a ZŠ obce Čejov (přesné znění referendové otázky nebylo oznámeno).",2019-01-05 00:00:00,451,0.588,ANO,"133     (50,18%)","121    (45,66%)",ANO        (113),
284.0,"Bačice                    (Třebíč, VYS)",Souhlasíte se změnou územního plánu pro ZD Hrotovice na záměr vybudovat novou výkrmnu prasat s bioplynovou stanicí?,2019-03-02 00:00:00,159,0.6918,ANO,"38     (34,54%)","72      (65,45%)",ANO              (40),
285.0,"městský obvod Plzeň 7 - Radčice       (Plzeň, PLK)",Souhlasíte s vybudováním sjezdu do Radčic z budoucího západního okruhu města Plzně?,2019-03-09 00:00:00,844,0.4609,ANO,"170       (43,70%)","214      (55,01%)",ANO      (211),
,"Lešná                   (Vsetín, ZLK)","1. Souhlasíte s tím, aby zastupitelstvo obce Lešná schválilo připravovaný územní plán obce Lešná v podobě, která podmiňuje využití návrhových ploch výroby a skladování v průmyslové zóně nacházející se v obci Lešná v katastrálních územích Příluky a Lhotka nad Bečvou zpracováním územní studie? ",2019-03-22 00:00:00,1646,0.5085,ANO,"782        (93,43%)","45        (5,38%)",ANO          (412),
286.0,,"2. Souhlasíte s tím, aby zastupitelstvo obce Lešná schválilo připravovaný územní plán v podobě, která v návrhových plochách výroby a skladování v průmyslové zóně nacházející se v obci Lešná v katastrálních územích Příluky a Lhotka nad Bečvou neumožní výstavbu provozů těžkého průmyslu, jako jsou hutnictví, strojírenství, chemický průmysl a petrochemie včetně povrchových úprav, lisování a drcení materiálů a neumožní skládkování nebezpečných odpadů?",,,,,"669        (79,93%)","40     (4,78%)",,
287.0,"Měchenice        (Praha-západ, STK)","Souhlasíte s výstavbou supermarketu společnosti Lidl v obci Měchenice na pozemcích mezi stavebninami Měchenice, ulicí Spojovací a Hlavní?",24. - 25. 5. 2019,650,0.6138,ANO,"245      (61,40%)","137      (34,33%)",ANO      (163),
288.0,"Lovčice        (Hodonín, JMK)",Jste pro rekonstrukci silnice III/4301 průtahu obcí - výměnu stávajících živičných kostek a konstrukčních vrstev vozovky za nový asfaltový povrch vč. obrub?,24. - 25. 5. 2019,660,0.6181,ANO,"253      (62,01%)","149        (36,52%)",ANO       (165),
289.0,"Holubice               (Vyškov, JMK)",,24. - 25. 5. 2019,neoznámeno,,,,,,
290.0,"Chvalíkovice (Opava, MSK)",Souhlasíte s výstavbou obecní centrální čističky odpoadních vod a s vybudováním související oddělené kanalizace v obci Chvalíkovice?,2019-10-05 00:00:00,548,0.5693,ANO,"229    (73,39%)","67    (21,47%)",ANO           (137),
291.0,"Bělá                     (Opava, MSK)",Má obecní zastupitelstvo dát souhlas v územním a stavebním řízení k umístění a provedení stavby kravína v lokalitě VA 205 v k. ú. Bělá u Staré Paky?,2019-10-05 00:00:00,220,0.7636,ANO,84         (50%),84      (50%),NE                   (55),
292.0,"Potůčky               (Karlovy Vary, KVK)","Souhlasíte s přestavbou stávajícího objektu areálu bazén Potůčky čp. 160 na pozemku st.p.č. 400 v k.ú. Potůčky na společenské a sportovní centrum pro děti a veřejnost (s využitím zejména jako tělocvična a šatny pro děti ZŠ a MŠ Potůčky, krizové centrum, společenské a sportovní prostory) namísto znovuotevření areálu bazénu v této stavbě, který byl uzavřen ke dni 31.12.2015 a o jehož znovuotevření rozhodlo místní referendum dne 8.8.2017?",2019-10-04 00:00:00,252,0.6032,ANO,"104       (68,42%)","42       (27,63%)",ANO              (63),
293.0,"Potštejn        (Rychnov nad Kněžnou, HKK)","Jsem pro výstavbu multifunkčního objektu s hasičskou zbrojnicí dle schválené projektové dokumentace a vydaného stavebního povolení na akci ""Výstavba hasičské zbrojnice a obecního sálu v Potštejně"".",2019-11-01 00:00:00,792,0.6465,ANO,"235 (45,90%)","271 (52,93%)",ANO               (257),
294.0,"Litoměřice (Litoměřice, ÚSK)","Chcete, aby orgány města Litoměřice bezodkladně zastavily jakoukoliv formu převodu vlastnictví či provozování nemocnice v Litoměřicích na jakýkoliv subjekt, který není ve výhradním vlastnictví státu, kraje či obce a zachovaly nemovitosti nemocnice i provozní majetek společnosti Nemocnice Litoměřice, a.s., ve výhradním vlastnictví státu, kraje či obce?",2019-11-08 00:00:00,18977,0.5326,ANO,"9691 (95,87%)","203         (2,01%)",ANO         (5055),
295.0,"Jammé          (Jihlava, VYS)",Souhlasíte s výstavbou větrných elektráren v katastrálním území obce Jamné u Jihlavy?,2019-11-30 00:00:00,432,0.5833,ANO,"61 (24,21%)","187 (74,21%)",ANO           (127),
296.0,"Brniště                          (Česká Lípa, LBK)","1. Souhlasíte, aby obec Brniště jakkoli souhlasila nebo podporovala povolení a provádění těžby v dobývacím prostoru Luhov? ",2020-06-19 00:00:00,1061,0.4958,ANO,"305    (57,98 %)","204    (38,78 %)",ANO       (266),
,,"2. Souhlasíte, aby zastupitelstvo obce Brniště přijalo negativní stanovisko vůči těžbě v dobývacím prostoru Luhov?",,,,,"231    (43,92 %)","260    (49,42 %)",NE           (266),
297.0,"Škrdlovice                               (Žďár nad Sázavou, VYS)",Souhlasíte s umístěním přístřešku u autobusové zastávky v parku před kaplá svatých Cyrila a Metoděje?,2020-06-26 00:00:00,549,0.448,ANO,"201      (81,7 %)","41        (16,7 %)",ANO       (149),
298.0,"Hory                                    (Karlovy Vary, KVK)","Souhlasíte s umístěním a výstavbou stavby s názvem ""Středisko obchodu a služeb Karlovy Vary - Hory I"" na pozemcích parcelní číslo 127/8, 220/1, 223/1, 223/2, 224/1, 224/2, 224/3, 226, 228/1, 228/2, 229/1, 229/2, 229/3, 229/10, 230/4, 230/5, 230/6, 231/1, 231/2, 231/3, 231/4, 231/6, 231/7, 297, 414/2, 415/1, 417/2, 427/2, 427/3 v katastrálním území Hory u Jenišova?",2020-07-23 00:00:00,244,0.541,ANO,"6             (4,5 %)","125      (94,5 %)",ANO        (61),
299.0,"Stará Lysá                    (Nymburk, STČ)",Souhlasíte s prodejem obecního pozemku 140/81 o výměře 3648 m2 v katastrálním území Stará Lysá v lokalitě Mokřad a tůně Hladoměř? Pozemek vznikl dělením současného pozemku 140/65 dle geometrického plánu č. 541-146/2019 odsouhlaseného katastrálním úřadem dne 15.11.2019 pod PGP 1789/2019-208. Oblast je v současném územním plánu vedena jako plocha Z17 - výroba a skladování - drobná řemeslná výroba.,2. - 3. 10. 2020,475,0.56,ANO,"121    (45,49 %)","144    (54,14 %)",ANO          (119),
300.0,"Pchery                 (Kladno, STČ)","Souhlasíte s tím, aby obec Pchery prodala svůj nemovitý majetek - Faru č.p. 1 s pozemky p.č. st. 57, 85/1 v k.ú- Pchery?",2. - 3. 10. 2020,1550,0.4025,ANO,"172    (27,56 %)","423    (67,78 %)",ANO          (388),
301.0,"Stříbro                       (Tachov, PLK)",Souhlasíte s výstavebou krytého plaveckého bazénu ve městě Stříbro?,2. - 3. 10. 2020,5964,0.366,ANO,"1 529     (70,04 %)","521       (23,87 %)",ANO             (1 491),
302.0,"Stéblová (Pardubice, PAK)","1. Souhlasíte, aby zastupitelstvo obce Stéblová schválilo úpravu návrhu Změny č. 2b) Územního plánu Stéblová, týkající se plochy těžby štěrkopísku, dle žádosti společnosti Šaravec a Ruč spol. s. r.o., doručené dne 11. 3. 2020?",2. - 3. 10. 2020,196,0.7449,ANO,"43         (29,45 %)","68           (46,57 %)",NE               (49),
,," 2. Má zastupitelstvo obce Stéblová podporovat záměr těžby štěrkopísku v rámci Změny č. 2b) Územního plánu Stéblová za podmínek, které budou chránit zdraví a majetek občanů?",,,,,"16           (10,96 %)","122         (83,56 %)",ANO          (49),
303.0,"MO Ústí nad Labem - Střekov                         (Ústí nad Labem, ÚSK)","Souhlasíte s realizací nákupní zóny na pozemcích parc. č. 2779/1, 2884/1 v k. ú. Střekov, dle návrhu, zveřejněného na www.strekov.cz, v podatelně Úřadu městského obvodu Ústí nad Labem - Střekov a vývěskách Městského obvodu Ústí nad Labem - Střekov v termínu od 10. 8. 2020 do 3. 10. 2020?",2. - 3. 10. 2020,11171,0.3592,ANO,"2 715 (67,66 %)","1 142 (28,45 %)",NE                 (2 793),
304.0,"Chodov        (Sokolov, KVK)","Souhlasíte s výstavbou obchodního centra případně obchodního domu nap ozemcích p. č. 1338/1, 1338/4, 1371/2, 1376, 1385/3 v ulici U Porcelánky, Chodov?",2. - 3. 10. 2020,10791,0.2855,NE,"1 247 (11,55 %)","1 600 (14,82 %)",NE                 (2 698),
305.0,"Nové Strašecí      (Rakovník, STČ)","1. Souhlasíte s tím, aby orgány města Nové Strašecí podnikly veškeré dostupné právní kroky, včetně změny územního plánu, aby zabránily zástavbě ploch Z94, Z95, Z111 dle stávajícího územního plánuu v oblsati Mackova hora stavbami průmyslových a skladovacích hal? ",2. - 3. 10. 2020,4383,0.5387,ANO,"2 105       (89,16 %)","117      (4,96 %) ",ANO             (1 096),
,,"2. Souhlasíte s tím, aby oblast Mackova hora byla nadále využívána jako plocha přírody a krajiny?",,,,,"2 058      (87,17 %)","136         (5,76 %) ",,
306.0,"Lysá nad Labem (Nymburk, ÚSK)","Souhlasíte s tím, aby byty v Milovicích ve vlastnictví města Lysá nad Labem zůstaly i nadále majetkem města a nebyly prodány? ",2. - 3. 10. 2020,7492,0.4536,ANO,"2 531 (74,48 %)","664    (19,91 %)",ANO             (1 873),
307.0,"Mosty u Jablunkova (Frýdek-Místek, MSK)","Souhlasíte s tím, aby zastupitelstvo nebo rada Obce Mosty u Jablunkova schválila změnu názvu obce z názvu Mosty u Jablunkova na název Mosty?",2. - 3. 10. 2020,3067,0.5465,ANO,"207    (12,35 %)","1 458 (86,99 %)",ANO       (767),
308.0,"Lodín                           (Hradec Králové, HKK)",Otázka se týkala schválení nebo odmítnutí změny územního plánu umožňujícího rozšíření areálu skládky FCC Lodín,2. - 3. 10. 2020,325,0.6062,ANO,"101    (51,27 %)","95      (48,22 %)",ANO              (82),
309.0,"Zlín                               (Zlín, ZLK)","Souhlasíte s tím, aby statutární město Zlín při výkonu své samostatné působnosti nepokračovalo ve stávajícím provozním modelu provozování vodohospodářské infrastruktury, kdy je tato infrastruktura pronajímána společnosti MORAVSKÁ VODÁRENSKÁ a.s.?",2. - 3. 10. 2020,60566,0.3832,ANO,"18 874            (81,33 %)","2 416        (10,41 %)",ANO           (15 142),
310.0,"Řevnice                   (Praha-západ, STČ)","1. Souhlasíte s tím, aby město Řevnice učinilo veškeré kroky v samostatné působnosti k tomu, aby navrhovaná plocha areálu betonárny v Řevnicích (podle návrhu územního plánu prezentovaného na veřejném projednání v lednu 2018 území označené jako C3) umožňovala umístění staveb všech vyjmenovaných způsobů užití: občanská vybavenost (např. mateřská škola, ordinace lékařů, obchody, zařízení pro kulturu a sport jako jsou hřiště, služby), kanceláře, drobná nerušící výroba, bydlení, plochy s veřejnou zelení, parky, komunikace a technická infrastruktura?",2. - 3. 10. 2020,2697,0.512,ANO,"596          (43,16 %)","666            (48,23 %)",NE             (675),
,," 2. Souhlasíte s tím, aby město Řevnice učinilo veškeré kroky v samostatné působnosti tak, aby byly v území Na Vrážce na dvou částech ploch OP, uvedených v návrhu územního plánu prezentovaného na veřejném projednání v lednu 2018 a nacházejících se na pozemcích par. č. 3718/1, 3716/2 a 3725/1 v k.ú. Řevnice, nově vymazeny dvě plochy ""krajinné zeleně"", široké 30 m a přiléhající svou delší stranou k hranici ploch B7 a P, které jsou rovněž uvedeny v návrhu územního plánu prezentovaného na veřejném projednání v lednu 2018 a které se nacházejí na pozemcích parc. č. 3718/1, 3716/2 a 3725/1 v k.ú. Řevnice?",,,,,"1 041           (75,38 %)","212           (15,35 %)",ANO           (675),
311.0,"Letohrad                    (Ústí nad Orlicí, PAK)","Souhlasíte, aby město Letohrad realizovalo rekonstrukci domu kultury s umístěním základní umělecké školy podle připravené realizační projektové dokumentace v předpokládané hodnotě 194,5 mil. Kč bez DPH, která má pravomocné stavební povolení a zajištěno financování?",2021-05-01 00:00:00,4993,0.488,ANO,"1 440 (59,08 %)","953      (39,1 %)",ANO             (1 249),
312.0,"Ševětín                 (České Budějovice, JHČ)","1. Souhlasíte s tím, aby zastupitelstvo městysu Ševětín zamítlo změnu územního plánu, na základě kterého by měla být vybudována nová technologická linka na zpracování kamene a jeho skladování na území městyse Ševětín v prostoru za bývalým zemědělským družstvem směrem na Mazelov?",08.-09.10.2021,1103,0.6174,ANO,"243    (35,68 %)","368    (54,04 %)",ANO       (276),
,,"2. Jste PROTI provozu stávající drtící linky kamene a dalšímu prodlužování těžby v stávajícím lomu, které zásadně zhoršují životní podmínky, obtěžují prachem, hlukem, otřesy a dopravou, a souhlasíte s tím, aby zastupitelstvo městyse Ševětín podniklo veškeré kroky a opatření, aby dalšímu prodlužování těžby a drcení kamene v katastrálním území Ševětína zabránilo?",,,,,"258    (37,89 %)","357    (52,42 %)",ANO       (276),
313.0,"Domousnice                 (Mladá Boleslav, STČ)","1. Souhlasíte s tím, aby zastupitelstvo obce podniklo kroky vedoucí k obnově Návesního rybníka v původním vzhledu, tedy s jednou vodní plochou o velikosti nad 2ha a průměrné hloubce blízké té původní cca 0,9 m.",2021-07-10 00:00:00,230,0.63,ANO,"94      (64,83 %)","39      (26,90 %)",ANO         (58),
,,"2. Souhlasíte s tím, aby zastupitelstvo obce podniklo kroky vedoucí k revitalizaci Návesního rybníka (cca 1 ha) a větší průměrnou hloubkou (cca 1,5 m), s rozšířením          o parkovou úpravu okolí s cestami a dvěma tůněmi.",,,,,"39      (26,90 %)","94      (64,83 %)",ANO         (58),
314.0,"Podveky             (Kutná Hora, STČ)","1. Souhlasíte s tím, aby splaškovou kanalizaci a čističku odpadních vod v obci Podveky vlastnila Vodohospodářská společnost Vrchlice-Maleč a.s.; se sídlem Ku Ptáku 387, 284 01 Kutná Hora?",2021-05-14 00:00:00,176,0.795,ANO,"73      (52,14 %)","66      (47,14 %)",ANO             (44),
,,"2. Souhlasíte s tím, aby splašková kanalizace byla vybudovaná v Podvlekách, v Ježovicích, v Útěchvostech a v Zalíbené?",,,,,"89      (63,57 %)","24      (17,14 %)",ANO           (44),
315.0,"Bzenec               (Hodonín, JHM)","Chcete, aby areál bzeneckého zámku - hlavní budova zámku, přilehlé budovy, park, prostranství, nádvoří, veškeré pozemky tohoto areálu a pod nimi se nacházející sklepy, nemovistosti označené v katastru nemovitostí Katastrálního úřadu pro Jihomoravský kraj, katastrální pracoviště Kyjov, na listu vlastnictví č. 10001 pro obec Bzenec, katastrální území Bzenec (617270) zůstaly ve vlastnictví města Bzenec?",08.-09.10.2021,3496,0.623,ANO,"1 416 (65,01 %)","677    (31,08 %)",ANO       (874),
316.0,"Měcholupy                  (Plzeň-jih, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Měcholupy zabránilo všemi zákonnými prostředky společnosti Stavební práce KULE s.r.o., IČO 25242377, U nových domů II 528/3, 140 00 Praha-4-Krč, ve výstavbě betonárny v katastrálním území obce Měcholupy?",2021-06-19 00:00:00,178,0.5,ANO,"86                  (96,63 %)","1                   (1,12 %)",ANO         (45),
317.0,"Rynholec                       (Rakovník, STČ)","Chcete, aby na pozemku č. 865/11 v katastrálním území Rynholec (bývalá výsypka dolu ČSA) byla vybudována průmyslová/výrobní/logistická/skladová hala nebo jiný komplex podobného charakteru?",2021-06-26 00:00:00,768,0.404,ANO,"13                 (4,19 %)","282      (90,97 %)",ANO                (192),
318.0,"Srbsko                            (Beroun, STČ)","Požadujete, aby obec Srbsko učinila veškeré možné kroky v samostatné působnosti vedoucí k tomu, že změnou územního plánu obce Srbsko budou pozemky p.č. 236, 237, 337, 338, 341/1, 342/1 a 342/7, vše v k.ú. Srbsko u Karlštejna, vyňaty z ploch bydlení venkovského typu v rodinných domech (BV) a zařazeny do nezastavitelné plochy zemědělské - orná půda (NZ), případně plochy přírodní - trvalé travní porosty (NP)?",2021-07-02 00:00:00,431,0.538,ANO,"210    (90,52 %)","9           (3,88 %)",ANO        (108),
319.0,"Ohrobec                        (Praha - západ, STČ)","Požadujete, aby orgány obce Ohrobec učinily                       v samostatné působnosti veškeré možné kroky k tomu, aby zabránily výstavbě objektů pro rozšíření Základní školy a Mateřské školy Ohrobec, příspěvkové organizace, o druhý stupeň základní školy na části pozemku parcelní číslo 469/5 v obci a v katastrálním území Ohrobec, graficky vyznačené na připojeném plánku?",2021-07-30 00:00:00,1054,0.22,NE,"57      (24,57 %)","175    (75,43 %)",NE           (264),
320.0,"Podolí                   (Brno - venkov, JHM)","Souhlasíte s tím, aby obec Podolí učinila v samostatné působnosti veškeré možné kroky směřující k tomu, aby případná výstavba v lokalitě Nad Paloukem odpovídala požadavkům platného Územního plánu obce Podolí maximálně v rozsahu výstavby dle Územní studie Podolí - lokalita Nad Paloukem, jejíž aktuálnost ověřil Městský úřad Šlapanice ke dni 29. 6. 2020 (územní studie), zejména aby obec Podolí:                                                               - Ve všech správních řízeních týkajících se výstavby v lokalitě Nad Paloukem  důsledně a aktivně hájila zájmy obce a jejich občanů, především aby uplatňovala námitky a připomínky tak, aby v lokalitě nevznikly jiné stavby pro bydlení než maximálně 48 rodinných domů     a aby tyto rodinné domy neměly více než jednu bytovou jednotku (při dodržení regulativů územní studie);               - Nečinila žádné kroky k pořízení nové územní studie pro lokalitu Nad Paloukem, která by umožnila intenzivnější výstavbu než stávající územní studie (zejména realizaci více než 48 rodinných domů s více než 1 bytovou jednotkou);                                                                                           - Nepodepsala smlouvu o spolupráci, plánovací smlouvu či jinou obdobnou smlouvu s developerem lokality PODOLÍ NAD PALOUKEM s.r.o., ani s žádným jiným stavebníkem, nebo vlastníkem pozemků, jestliže by tato smlouva byla v rozporu s výše uvedenými požadavky?                                                           ",08.-09.10.2021,1117,0.6679,ANO,"648    (86,86 %)","84      (11,26 %)",ANO       (280),
321.0,"Pardubice                     (Pardubice, PAK)","Souhlasíte s tím, aby při opravě Zelené brány byly obnoveny vnější omítky?",08.-09.10.2021,68049,0.484,ANO,"8 441 (25,61 %)","22 984 (69,72 %)",ANO           (17 013),
322.0,"Drnholec         (Břeclav, JHM)","Souhlasíte s tím, aby byly v katastrálním území obce Drnholec umístěny větrné elektrárny?",08.-09.10.2021,1429,0.569,ANO,"371    (45,63 %)","429    (52,77 %)",ANO       (358),
323.0,"Zduchovice (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Zduchovice podniklo v samostatné působnosti obce veškerá zákonná opatření pro povolení výstavby oplocení lesních ploch v katastrálním území obce Zduchovice, za účelem vzniku oborního chovu Jelena evropského, a to za podmínky zajištění celoročního přístupu občanů do obory po stávajících komunikacích a lesních cestách vstupními branami, včetně zajištění celoročního turistického přístupu na vyhlídku ""Na Altánku"", okolo oplocení obory?",08.-09.10.2021,260,0.715,ANO,"60      (32,26 %)","119    (63,98 %)",ANO         (65),
324.0,"Třemošnice (Chrudim, PAK)","1. Má Město Třemošnice jako jednotka územní samosprávy dále podporovat projekt výstavby nového provozu společnosti KOVOLIS HEDVIKOV a.s. v průmyslové zóně v Třemošnici označené v územním plánu ""Z4"", tj. podporovat jako vlastník nemovitostí a jako účastník správních řízení výstavbu nového závodu s lisovnou a tavírnou hliníku, obrobnou, nářaďovnou, mechanickými dílnami, skladem expedice, parkovištěm a správní budovou?",08.-09.10.2021,2394,0.6211,ANO,"362    (24,34 %)","954    (64,16 %)",ANO       (599),
,,"2. Má Město Třemošnice učinit všechny potřebné kroky ke změně ""Územního plánu města Třemošnice"", a celou či podstatnou část plochy označenou ""Z4"" a plochu ""Z5"" změnit na zónu určenou pro ""bydlení v rodinných domech"" a ""veřejné prostranství"" v zájmu plnění důležitého veřejného zájmu města?",,,,,"988    (66,44 %)","346    (23,27 %)",ANO       (599),
325.0,"Jezeřany-Maršovice (Znojmo, JHM)","Souhlasíte se stavbou hasičské zbrojnice ve školním areálu, pozemku p.č. 1475 v k.ú. Maršovice?",08.-09.10.2021,622,0.5514,ANO,"159    (46,36 %)","162    (47,23 %)",NE           (156),
326.0,"Katovice (Strakonice, JHČ)","Jste pro to, aby zvolení zástupci obce jednali s ŘSD            o realizaci obchvatu kolem Katovic tak, jak je zanesen v platném územním plánu?",08.-09.10.2021,1075,0.6818,ANO,"618    (84,31 %)","85      (11,60 %)",ANO       (269),
327.0,"Příkosice (Rokycany, PLK)",Souhlasíte s vybudováním gravitační (spádové) kanalizace v obci Příkosice?,08.-09.10.2021,320,0.769,ANO,"169    (68,70 %)","64      (26,02 %)",ANO         (80),
328.0,"Sušice            (Klatovy, PLK)","Chcete, aby město Sušice aktivně podporovalo zdravotní péči v rozsahu: lůžková interna, lůžková chirurgie, JIP, následná péče, ambulance, komplement (RTG, SONO, laboratoř), včetně pořízení CT přístroje           v Sušické nemocnici?",08.-09.10.2021,8782,0.5561,ANO,"4 372 (89,52 %)","225      (4,61 %)",ANO             (2 196),
329.0,"Řevnice                   (Praha-západ, STČ)","Souhlasíte s tím, aby zastupitelstvo města Řevnice schválilo územní plán v podobě, která v návrhových plochách území bývalé Eurovie v Řevnicích (podle návrhu územního plánu prezentovaného na veřejném projednání v lednu 2018 se jedná o území C3) neumožní výstavbu jakýchkoli bytových domů a/nebo rodinných domů a jako jediné přípustné využití tohoto území se stanoví pouze: stavby občanské vybavenosti, a to zařízení školství a výchovy, zařízení kultury, zařízení tělovýchovy a sportu, veřejná prostranství, zeleň, drobná nerušící výroba a služby, místní komunikace?",08.-09.10.2021,2710,0.4661,ANO,"952    (75,38 %)","222    (17,58 %)",ANO       (678),
330.0,"Losiná                     (Plzeň-město, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Losiná                  v samostatné působnosti obce již nepodnikalo žádné kroky směřující proti výstavbě betonárky v katastru obce Losiná?",08.-09.10.2021,1085,0.5816,ANO,"282    (44,69 %)","324    (51,35 %)",ANO       (272),
331.0,"Dačice       (Jindřichův Hradec, JHČ)","Upřednostňujete při rekonstrukci dolní křižovatky na Palackého náměstí průsečnou křižovatku s ""chytrými"" semafory v provozu 24 hodin denně před okružní křižovatkou o průměru 26 m?",08.-09.10.2021,5827,0.6339,ANO,"3 092 (83,70 %)","474    (12,83 %)",ANO             (1 457),
332.0,"Velký Beranov    (Jihlava, VYS)","Souhlasíte, aby orgány obce Velký Beranov                           v samostatné působnosti činily kroky ke změně územního plánu tak, aby na pozemcích parc. č. 1373/1, 1385/1, 1386/1, 1389/12, 1405, 1406/1, 1406/2, 1407/1, 1389/16, 1389/14, 1389/17, 1404/1, v katastrálním území Velký Beranov, obec Velký Beranov, mohlo dojít                k výstavbě objektu logistického areálu?",08.-09.10.2021,1052,0.788,ANO,"232    (27,98 %)","561    (67,67 %)",ANO       (263),
333.0,"Slavonice (Jindřichův Hradec, JHČ)",Upřednostňujete jednorázovou náhradu 6 ks sakur novými hlohy před postupným nahrazováním dožilých sakur hlohy (v úseku před domy čp. 477 - fara až čp. 482 - hotel Alfa na náměstí Míru ve Slavonicích?,08.-09.10.2021,1948,0.4353,ANO,"509    (60,02 %)","288    (33,96 %)",ANO       (487),
,,Upřednostňujete zadání zpracování variant rychlejší celkové obnovy stromořadí v parku (v souladu se zájmy ochrany životního prostředí) před možností nechat alej dožít v rámci běžné údržby?,,,,,"487    (57,43 %)","313    (36,91 %)",ANO       (487),
334.0,"Blučina                 (Brno - venkov, JHM)",Má se náš plavecký bazén spolu se sportovní halou            a přilehlými pozemky dlouhodobě pronajmout po dobu déle jak 10 let?,08.-09.10.2021,1721,0.6531,ANO,"359    (31,94 %)","725    (64,50 %)",ANO       (431),
,,"Souhlasíte s tím, aby obec Blučina převedla vlastnické právo k plaveckému bazénu spolu se sportovní halou        a přilehlými pozemky v obci Blučina cizímu subjektu?",,,,,"84        (7,47 %)","978    (87,01 %)",ANO       (431),
335.0,"Chuchelna    (Semily, LBK)","Souhlasíte s tím, aby obec Chuchelna v samostatné působnosti podnikla kroky k tomu, aby nedošlo                  k obnovení těžby v dobývacím prostoru Chuchelna na katastrálním území obce Chuchelna?",08.-09.10.2021,793,0.594,ANO,"382    (81,10 %)","75      (15,92 %)",ANO       (199),
